Free Agent Defense/STs  Season  CBS Average Projections Scoring Stats
Player,Opp,Bye,BFB,BP,BXP,DFR,DSTPA,DTD,Int,SACK,STY,YDS,FPTS,
Seahawks DST | SEA ,GB,4,0,0,0,10.5,276,5.0,22.5,39.0,1.0,4686.5,185.00
Rams DST | STL ,MIN,4,0,0,0,12.5,361,5.0,18.0,48.5,2.0,5531,175.50
Broncos DST | DEN ,IND,4,0,0,0,11.5,362.5,5.5,17.0,47.0,1.5,5393.5,172.00
Cardinals DST | ARI ,SD,4,0,0,0,11.0,334.5,4.0,17.5,42.5,1.0,5238,157.50
Panthers DST | CAR,@TB,12,0,0,0,10.5,327,3.5,15.5,48.5,0.5,5410,154.50
Bengals DST | CIN ,@BAL,4,0,0,0,11.0,353.5,4.0,17.5,40.0,0.5,5039,154.00
Bills DST | BUF ,@CHI,9,0,0,0,8.5,394.5,4.5,15.5,44.0,1.0,5595.5,153.00
Steelers DST | PIT ,CLE,12,0,0,0,10.0,360.5,3.5,16.5,44.0,1.0,5221,152.00
Ravens DST | BAL ,CIN,11,0,0,0,10.5,365,4.0,16.0,41.5,0.5,5200,151.50
Browns DST | CLE ,@PIT,4,0,0,0,9.5,379.5,3.5,18.0,42.0,0.5,5324,151.00
Saints DST | NO,@ATL,6,0,0,0,9.5,356,3.5,17.0,42.0,0.5,5537.5,149.00
Texans DST | HOU,WAS,10,0,0,0,10.0,358.5,3.5,15.0,42.0,1.5,5011.5,148.00
Patriots DST | NE ,@MIA,10,0,0,0,12.5,351.5,5.5,21.0,43.0,0.5,5979,144.00
49ers DST | SF ,@DAL,8,0,0,0,10.5,310.5,3.0,16.0,36.5,1.0,5175,141.50
Giants DST | NYG ,@DET,8,0,0,0,8.5,376,2.5,17.5,38.0,0,5588,137.00
Lions DST | DET ,NYG,9,0,0,0,8.5,382.5,3.5,15.0,35.5,0.5,5531,136.50
Jets DST | NYJ ,OAK,11,0,0,0,8.0,381,3.0,14.5,37.0,1.5,5421,135.00
Bears DST | CHI ,BUF,9,0,0,0,12.0,408,5.0,19.0,39.0,1.0,5875.5,133.00
Chiefs DST | KC,TEN,6,0,0,0,10.0,365,5.5,17.0,43.0,0.5,5669.5,131.00
Buccaneers DST | TB ,CAR,7,0,0,0,11.5,383,4.5,20.0,36.0,1.0,5896.5,128.00
Packers DST | GB ,@SEA,9,0,0,0,9.5,392.5,4.5,18.0,42.0,1.0,5990,126.00
Vikings DST | MIN,@STL,10,0,0,0,12.0,439.5,4.5,13.0,42.0,0.5,5946.5,120.00
Dolphins DST | MIA ,NE,5,0,0,0,8.0,355.5,4.0,17.5,41.0,0.5,5660,117.00
Eagles DST | PHI,JAC,7,0,0,0,9.0,385,3.5,17.0,36.5,1.0,5664,111.50
Jaguars DST | JAC,@PHI,11,0,0,0,11.0,381,3.0,15.5,34.0,1.0,5782,107.00
Chargers DST | SD ,@ARI,10,0,0,0,8.5,358,3.5,15.0,36.0,0.5,5645.5,105.00
Falcons DST | ATL ,NO,9,0,0,0,9.0,370.5,2.5,16.5,31.0,0.5,5753,98.00
Redskins DST | WAS ,@HOU,10,0,0,0,8.5,422,2.5,16.0,32.0,0.5,5743.5,97.00
Colts DST | IND ,@DEN,10,0,0,0,8.0,384,3.0,13.0,34.5,1.0,5916.5,96.50
Titans DST | TEN ,@KC,9,0,0,0,9.0,389,2.5,13.5,32.0,0.5,5666,93.00
Raiders DST | OAK ,@NYJ,5,0,0,0,9.5,443,2.0,12.0,34.5,0.5,5915.5,90.50
Cowboys DST | DAL ,SF,11,0,0,0,9.0,418,2.0,10.5,31.5,0.5,6186.5,83.50
